BUILDING,ROOM,8am_9am,9am_10am,10am_11am,11am_12noon,12noon_1pm,1pm_2pm,2pm_3pm,3pm_4pm,4pm_5pm,5pm_6pm,6pm_7pm,7pm_8pm,
LIBRARY,LIBRARY,,,,,,"400L &
500L PROJ.WOR K","400L &
500L PROJ.WORK",,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
LT,LT1,MAT212,,GST311,GST311,ECN211,ECN211,BREAK TIME,GEC212,GEC212,,,,
LT,LT2,,,PHY112,PHY112,GEC217,GEC217,BREAK TIME,,,GEC214 TUTORIAL,,,
,,,,,,,,,,,,,,
LT,MATHLAB,,,,,,,BREAK TIME,,,,,,
MCE,500L-LR,,MCE552,MCE517,MCE537,MCE537,MCE537,BREAK TIME,MCE519,MCE519,MCE519,,,
MCE,IVNL,,,,,MCE317,MCE317,BREAK TIME,,,,,,
MCE,LR-P35,,,,,,MCE418,BREAK TIME,,,,,,
PTE,COMP LAB,,,,,,,BREAK TIME,,,,,,
PTE,P28,,,,,,,BREAK TIME,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
