BUILDING,ROOM,8am_9am,9am_10am,10am_11am,11am_12noon,12noon_1pm,1pm_2pm,2pm_3pm,3pm_4pm,4pm_5pm,5pm_6pm,6pm_7pm,7pm_8pm,
CST,LAB,,,GEC216,GEC216,,,BREAK TIME,,,,,,
CST,LAB(HALL313),,,,,,,BREAK TIME,,,,,,
CST,MCB LAB(HALL212),MCB211,MCB211,MCB211,MCB211,,MCB417,BREAK TIME,MCB315,MCB315,MCB111,MCB111,,
,,,,,,,,,,,,,,
CST,SEMINAR ROOM,BLD519,BLD519,,,BLD517,BLD517,BREAK TIME,,,,,,
,,,,,,,,,,,,,,
CST,SQL NEW HORIZON,,,CIT213,CIT213,,,BREAK TIME,,,,,,
,,,,,,,,,,,,,,
CST,STUDIO100,,,,,,,BREAK TIME,ARC111,ARC111,,,,
CST,STUDIO200,ARC213,ARC213,SES211,SES211,ARC219,ARC219,BREAK TIME,,,,,,
CST,STUDIO300,ARC312,ARC312,ARC317,ARC317,,,BREAK TIME,ARC311,ARC311,ARC311,ARC311,,
CST,STUDIO400,ARC415,,,,,,BREAK TIME,ARC411,ARC411,ARC411,ARC411,,
CUCRID,AUDITORIUM,CSC111,CSC111,,,CSC214,,BREAK TIME,,,,,,
CVE,200LH,,,,,,,BREAK TIME,BLD412,,,,,
CVE,300LH,,,,,CVE312/33 2,CVE312/33 2,BREAK TIME,,,,,,
,,,,,,,,,,,,,,
CVE,400LH,,,CVE417/43 1,CVE417/43 1,,CVE415/43 5,BREAK TIME,,,,,,
,,,,,,,,,,,,,,
CVE,500LH,,,,,CVE535,CVE535,BREAK TIME,,,,,,
EIE,CEN500LH,,,ICE518,ICE518,CEN514,CEN514,BREAK TIME,EEE514,EEE514,EEE515,EEE515,,
EIE,EIE LAB,,,EEE417,EEE417,,,BREAK TIME,EIE317/CE N515,EIE317/CEN 515,EIE317,,,
,,,,,,,,,,,,,,
EIE,EIE500LH,,,CEN416,CEN416,EIE311,EIE416,BREAK TIME,EIE416,EIE416,EIE418,EEE412,,
EIE,ICE500LH,,,,ICE515,ICE515,ICE515,BREAK TIME,ICE514,ICE514,ICE514,,,
LT,LT1,ECN212,ECN212,PHY111,PHY111,MAT111,MAT111,BREAK TIME,CHM111,CHM111,ECN111,ECN111,,
LT,LT2,MAT213,MAT213,GEC310,GEC310,GEC210,GEC210,BREAK TIME,GEC214,GEC214,CIT410,CIT410,,
LT,MATHLAB,,,,,,,BREAK TIME,,,,,,
MCE,200L-LH,,,,,,,BREAK TIME,,,,,,
MCE,300L-LH,,,,,MCE310,MCE310,BREAK TIME,,,,,,
MCE,500L-LH,,,MCE412,MCE412,,,BREAK TIME,,,,,,
MCE,500L-LR,,,,MCE515,MCE515,MCE515,BREAK TIME,MCE513,MCE513,,,,
MCE,LR-P35,,,,,MCE434,MCE434,BREAK TIME,MCE311,,,,,
MCE,WORKSHOP,,,,,,,BREAK TIME,,,GEC218,GEC218,,
PTE,COMP LAB,,,,,,,BREAK TIME,PET415,,,,,
PTE,P28,,,PET411,PET411,PET515,PET515,BREAK TIME,PET514/PE,PET514/PE,,,,
,,,,,,,,,T534,T534,,,,
PTE,P66,,,,,PET312,PET419,BREAK TIME,PET318,PET318,,,,
