BUILDING,ROOM,8am_9am,9am_10am,10am_11am,11am_12noon,12noon_1pm,1pm_2pm,2pm_3pm,3pm_4pm,4pm_5pm,5pm_6pm,6pm_7pm,7pm_8pm,
CST,MCB LAB(HALL212),,,MCB415,MCB415,MCB415,MCB316,BREAK TIME,MCB411,MCB411,MCB411,,,
,,,,,,,,,,,,,,
CST,PHYLAB,,,,,,,BREAK TIME,,,,,,
CST,STUDIO100,,,ARC111,ARC111,,,BREAK TIME,ARC112,ARC112,,,,
CST,STUDIO200,,,,,ARC214,ARC214,BREAK TIME,ARC211,ARC211,ARC211,ARC211,,
CST,STUDIO300,ARC318,ARC318,ARC316,ARC316,ARC313,ARC316,BREAK TIME,ARC311,ARC311,ARC311,ARC311,,
CST,STUDIO400,,,ARC415,ARC415,ARC414,ARC414,BREAK TIME,ARC411,ARC411,ARC411,ARC411,,
CVE,200LH,CEN317,CEN317,,,,,BREAK TIME,,,,,,
CVE,300LH,CVE318/33 8,CVE318/33 8,CVE311/33 1,CVE311/33 1,CVE335,CVE335,BREAK TIME,,,,,,
,,,,,,,,,,,,,,
CVE,400LH,EIE412,,CVE438,CVE438,CVE434,CVE434,BREAK TIME,CVE414/43 2,CVE414/43 2,,,,
,,,,,,,,,,,,,,
CVE,500LH,CVE536,CVE536,CVE535,CVE535,CVE539,CVE539,BREAK TIME,CVE336/31 6,CVE337,,,,
,,,,,,,,,,,,,,
EIE,CEN500LH,,,CEN511,CEN511,CEN512,CEN512,BREAK TIME,CEN515,CEN515,CEN515,,,
EIE,EIE500LH,EIE512,EIE512,EIE314,EIE314,EIE315,EIE315,BREAK TIME,EIE414,EIE414,EIE418,EIE418,,
EIE,ICE500LH,,,ICE417,ICE417,EEE510,EEE510,BREAK TIME,,,,,,
EIE,LAB,,,,,,,BREAK TIME,EIE318,EIE318,EIE318,EIE518,,
LT,LT1,EIE412,EDS411,GST211,GST211,CST111,CST111,BREAK TIME,GEC517,GEC517,CIT111,CHM111,,
LT,LT2,GEC212,GEC212,GEC117,GEC117,GEC415,GEC415,BREAK TIME,GEC215,GEC215,GEC218,GEC218,,
LT,MATHLAB,MAT216,MAT216,,,,,BREAK TIME,,,,,,
MCE,500L-LR,MCE517,MCE517,,,,,BREAK TIME,MCE553 PRACTICAL,,,,,
,,,,,,,,,,,,,,
MCE,FLUID LAB,,,,,,,BREAK TIME,MCE415/43 1,MCE415/43 1,CHM356,CHM356,,
,,,,,,,,,,,,,,
MCE,LAB,,,MCE516,MCE516,MCE416,MCE416,BREAK TIME,,,CIT313,CIT313,,
MCE,LR P35,,MCE411 PRACTICAL,MCE411 PRACTICAL,,MCE433,MCE433,BREAK TIME,MCE518,MCE518,,,,
,,,,,,,,,,,,,,
MCE,VNL,,,,,,,BREAK TIME,MCE314 PRACTICAL,MCE314 PRACTICAL,MCE314 PRACTICAL,,,
,,,,,,,,,,,,,,
PTE,COMP LAB,PET411,,,,PET317,PET317,BREAK TIME,,,,,,
PTE,P28,PET517,PET517,PET513/PE T510,PET514/PE T534,PET512/53 2,PET512/53 2,BREAK TIME,PET512/PE T532,PET512/PE T532,,,,
,,,,,,,,,,,,,,
PTE,P66,PET314,PET318,PET413,PET414,PET410,PET410,BREAK TIME,PET415,PET415,,,,
SPORTS CENTER,SPORTS CENTER,,,,,,,BREAK TIME,,,,,,
,,,,,,,,,,,,,,
