BUILDING,ROOM,8am_9am,9am_10am,10am_11am,11am_12noon,12noon_1pm,1pm_2pm,2pm_3pm,3pm_4pm,4pm_5pm,5pm_6pm,6pm_7p,7pm_8pm,
CST,HALL202,ESM511,ESM511,ESM415,ESM415,BLD416,BLD416,BREAK TIME,,,,,,
CST,HALL203,CHM414,CHM414,MAT215,MAT215,,MAT411,BREAK TIME,EDS PRACTICAL,EDS PRACTICAL,,,,
,,,,,,,,,,,,,,
CST,HALL204,,BLD314,BLD314,BLD415,CHM317,CHM317,BREAK TIME,EDS PRACTICAL,EDS PRACTICAL,,,,
,,,,,,,,,,,,,,
CST,HALL213(PHY LAB),PHY418,PHY418,PHY418,PHY415,PHY415,,BREAK TIME,,,,,,
,,,,,,,,,,,,,,
CST,HALL302(PHY LAB),PHY218,PHY218,PHY218,,PHY334,PHY334,BREAK TIME,PHY119,PHY119,PHY119,,,
,,,,,,,,,,,,,,
CST,HALL306,ESM211,ESM211,CHM492,CHM492,MAT217,MAT217,BREAK TIME,EDS PRACTICAL,EDS PRACTICAL,,,,
,,,,,,,,,,,,,,
CST,HALL307,ESM113,ESM113,BIO217,BIO217,ESM313,ESM313,BREAK TIME,EDS PRACTICAL,EDS PRACTICAL,,,,
,,,,,,,,,,,,,,
CST,HALL308,MIS418,MIS418,MIS413,MIS413,BLD114,BLD114,BREAK TIME,EDS PRACTICAL,EDS PRACTICAL,,,,
,,,,,,,,,,,,,,
CST,LAB,,,,,,,BREAK TIME,,,,,,
CST,LAB(HALL313),,,,,,,BREAK TIME,EDS PRACTICAL,EDS PRACTICAL,,,,
,,,,,,,,,,,,,,
CST,MCB LAB(HALL212),MCB416,MCB416,MCB416,MCB414,MCB414,MCB414,BREAK TIME,,,MCB212,,,
,,,,,,,,,,,,,,
CST,SEMINAR RM,BLD516,BLD516,BLD515,BLD515,BLD514,BLD514,BREAK TIME,,,,,,
CST,STUDIO100,ARC119,ARC119,,,ARC410,ARC410,BREAK TIME,EDS PRACTICAL,EDS PRACTICAL,,,,
,,,,,,,,,,,,,,
CST,STUDIO200,ARC215,ARC215,ARC212,ARC212,ARC216,ARC216,BREAK TIME,EDS PRACTICAL,EDS PRACTICAL,,,,
,,,,,,,,,,,,,,
CST,STUDIO300,,,,,ARC319,ARC319,BREAK TIME,EDS PRACTICAL,EDS PRACTICAL,,,,
,,,,,,,,,,,,,,
CST,STUDIO400,ARC419,ARC419,ARC413,ARC413,ARC418,ARC418,BREAK TIME,EDS PRACTICAL,EDS PRACTICAL,,,,
,,,,,,,,,,,,,,
CST,WORKSHOP,,,,,,,BREAK TIME,,,,,,
CUCRID,AUDITORIUM,CSC213,CSC213,,PET414,CSC312,CSC312,BREAK TIME,EDS PRACTICAL,EDS PRACTICAL,,,,
,,,,,,,,,,,,,,
CVE,200LH,,,,,,,BREAK TIME,EDS PRACTICAL,EDS PRACTICAL,,,,
,,,,,,,,,,,,,,
CVE,300LH,,CVE333/31 3,CVE333/31 3,,CVE334,CVE334,BREAK TIME,EDS PRACTICAL,EDS PRACTICAL,,,,
,,,,,,,,,,,,,,
CVE,400LH,CVE435,CVE435,,,CVE437/41 9,CVE437/41 9,BREAK TIME,EDS PRACTICAL,EDS PRACTICAL,,,,
,,,,,,,,,,,,,,
CVE,500LH,CVE533,CVE539,CVE536,CVE535,CVE534,CVE534,BREAK TIME,EDS PRACTICAL,EDS PRACTICAL,,,,
,,,,,,,,,,,,,,
EIE,CEN500LH,,CEN513,CEN513,ICE518,CEN510,CEN510,BREAK TIME,,,,,,
EIE,EIE500LH,EIE510,CIT412,EEE531,EEE531,ICE512/41 5,ICE512/41 5,BREAK TIME,EDS PRACTICAL,EDS PRACTICAL,,,,
,,,,,,,,,,,,,,
EIE,ICE 500 LH,CEN317,ICE516,ICE516,,EIE431,EIE431,BREAK TIME,EDS PRACTICAL,EDS PRACTICAL,,,,
,,,,,,,,,,,,,,
EIE,LAB,,,,,,EIE317,BREAK TIME,,,,,,
HALLS,HALLS,,,,,,,BREAK TIME,,,,BIBLE STUDY AND CELL FELLOWS HIP,BIBLE STUDY AND CELL FELLOWSH IP,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
LT,LT1,EIE412,EIE412,CIT314,EDS311,MAT112,MAT112,BREAK TIME,MAT214,CIT214,CIT214,,,
LT,LT2,EIE511,EIE511,GEC410,GEC410,GEC213,GEC213,BREAK TIME,CIT111,CIT111,EDS511,EDS511,,
LT,MAT LAB,,,,,,,BREAK TIME,,,,,,
MCE,500L-LR,,MCE533,MCE536,MCE553,MCE552,MCE552,BREAK TIME,EDS PRACTICAL,EDS PRACTICAL,,,,
,,,,,,,,,,,,,,
MCE,FLUID LAB,,,,,MCE418,MCE418,BREAK TIME,,,,,,
MCE,LAB,CIT313,CIT313,,,CIT313,CIT313,BREAK TIME,,,,,,
MCE,LR-P35,,MCE312,MCE312,,,,BREAK TIME,EDS PRACTICAL,EDS PRACTICAL,,,,
,,,,,,,,,,,,,,
MCE,VNL,,,,,MCE311,MCE311,BREAK TIME,EDS PRACTICAL,EDS PRACTICAL,,,,
,,,,,,,,,,,,,,
PTE,COMP LAB,,,,PET311,PET418,PET418,BREAK TIME,,,,,,
PTE,P28,PET519,PET519,PET531,PET531,,,BREAK TIME,EDS PRACTICAL,EDS PRACTICAL,,,,
,,,,,,,,,,,,,,
PTE,P66,PET419,PET419,,,,,BREAK TIME,EDS PRACTICAL,EDS PRACTICAL,,,,
,,,,,,,,,,,,,,
