BUILDING,ROOM,8am_9am,9am_10am,10am_11am,11am_12noon,12noon_1pm,1pm_2pm,2pm_3pm,3pm_4pm,4pm_5pm,5pm_6pm,6pm_7pm,7pm_8pm,
,,,,,,,,,,,,,,
CST,STUDIO100,,,,,BLD218,BLD218,BREAK TIME,BLD317,BLD317,BLD415,BLD415,,
CST,STUDIO200,,,,,,,BREAK TIME,ARC211,ARC211,ARC211,ARC211,,
CST,STUDIO300,,,ARC315,ARC315,ARC314,ARC314,BREAK TIME,ARC311,ARC311,ARC311,ARC311,,
CST,STUDIO400,,,ARC412,ARC412,ARC417,ARC417,BREAK TIME,ARC411,ARC411,ARC411,ARC411,,
CUCRID,AUDITORIUM,,,,,CSC415,CSC415,BREAK TIME,CSC214,CSC214,,,,
CVE,300LH,CVE332,,,,,CVE331/31 1,BREAK TIME,,,,,,
,,,,,,,,,,,,,,
CVE,400LH,CVE438,CVE431,CVE433,CVE433,CVE433,,BREAK TIME,CVE416/43 6,,,,,
,,,,,,,,,,,,,,
CVE,500LH,CVE537,CVE537,CVE537,,CVE538,CVE534,BREAK TIME,,,,,,
CVE,STUDIO22B,,,,,,,BREAK TIME,ENG415,ENG415,ICE414/41 8,ICE414/4 18,,
,,,,,,,,,,,,,,
CVE,WORKSHOP,,,,,,,BREAK TIME,,,,,,
EIE,CEN500LH,EEE414/CE N515,EEE414/CE N515,CEN512,CEN512,CEN417/31 7,CEN417/31 7,BREAK TIME,CEN513,EEE510,,EIE513,,
,,,,,,,,,,,,,,
EIE,EIE500LH,EEE513,EEE513,EEE516,EEE516,ICE517,ICE517,BREAK TIME,EIE411,EIE411,EIE411,CIT412,,
EIE,ICE500LH,ICE414/41 8,ICE414/41 8,ICE518(CM Q),ICE518(CM Q),EEE517,EEE517,BREAK TIME,ICE513,ICE513,ICE516,CIT412,,
,,,,,,,,,,,,,,
EIE,LAB,,EIE432,ICE413,ICE413,ICE413,ICE413,BREAK TIME,ICE413/EIE 517,,,,,
,,,,,,,,,,,,,,
LT,LT1,EIE312,EIE312,MAT111,EDS511,GST111 (COE & CST),GST111 (COE & CST),BREAK TIME,BUS313,CIT213,MAT213,EIE312,,
,,,,,,,,,,,,,,
LT,LT2,GEC211,GEC211,GEC214,GEC219,GST111 (CMSS & CLDS),GST111 (CMSS & CLDS),BREAK TIME,EIE510,EIE313,GEC310,,,
,,,,,,,,,,,,,,
MCE,400L-LR,,,,,,,BREAK TIME,,,CHM356,CHM356,,
MCE,500L-LR,MCE536,MCE536,MCE538,MCE538,MCE553,MCE553,BREAK TIME,,MCE533,MCE533,,,
MCE,LAB,MCE310,MCE310,MCE431,,MCE411,MCE411,BREAK TIME,MCE319,MCE319,,,,
MCE,LR-P35,,,,MCE431,"MCE313/5 05(5,6)","MCE313/5 05 (5,6)",BREAK TIME,,,,,,
,,,,,,,,,,,,,,
MCE,VNL,,,,,,,BREAK TIME,,,,,,
PTE,P28,PET631,PET533,PET535/53 0,PET535/53 0,PET510/51 3,PET510/51 3,BREAK TIME,,,,,,
,,,,,,,,,,,,,,
PTE,P66,PET414,PET414,PET515,PET535,PET535/PE T530,PET535/PE T530,BREAK TIME,PET314,PET314,,,,
,,,,,,,,,,,,,,
PTE,PET LAB,PET311,PET311,PET418,PET530,PET316,PET317,BREAK TIME,,,,,,
SPORTS CENTER,SPORTS CENTER,,,,,,,BREAK TIME,,,,,TMCSPORT,
,,,,,,,,,,,,,,
